"Scenario","Correct","Timestamp","Datetime","t1_casque","t1_visiere","t1_col","t1_gant_gauche","t1_gant_droit","t2_casque","t2_visiere","t2_veste","t2_col","danger"
"1","1","1626950297",2021-07-22 10:38:17,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","1","1626950313",2021-07-22 10:38:33,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","1","1626950328",2021-07-22 10:38:48,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","1","1626950343",2021-07-22 10:39:03,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950554",2021-07-22 10:42:34,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950569",2021-07-22 10:42:49,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950585",2021-07-22 10:43:05,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950600",2021-07-22 10:43:20,"0","0","1","0","0",NA,NA,NA,NA,"0"
"2","1","1626950616",2021-07-22 10:43:36,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950631",2021-07-22 10:43:51,"1","0","1","0","0",NA,NA,NA,NA,"0"
"2","1","1626950646",2021-07-22 10:44:06,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950662",2021-07-22 10:44:22,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950677",2021-07-22 10:44:37,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950693",2021-07-22 10:44:53,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950708",2021-07-22 10:45:08,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950723",2021-07-22 10:45:23,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950739",2021-07-22 10:45:39,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950754",2021-07-22 10:45:54,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950770",2021-07-22 10:46:10,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950785",2021-07-22 10:46:25,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950800",2021-07-22 10:46:40,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950816",2021-07-22 10:46:56,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950831",2021-07-22 10:47:11,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950847",2021-07-22 10:47:27,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950862",2021-07-22 10:47:42,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950877",2021-07-22 10:47:57,"1","0","0","1","1",NA,NA,NA,NA,"0"
"2","1","1626950893",2021-07-22 10:48:13,"1","1","0","1","1",NA,NA,NA,NA,"0"
"2","1","1626950908",2021-07-22 10:48:28,"1","0","0","1","1",NA,NA,NA,NA,"0"
